term,high_drift_tfidf,low_drift_tfidf,high_minus_low
rails,0.0005528404464962818,0.025553864395435638,-0.025001023948939355
ruby,0.0005528404464962818,0.019049239186652217,-0.018496398740155934
fix,0.005153045815722465,0.023006746432258,-0.017853700616535535
const,0.002108961573314751,0.018634616297838358,-0.01652565472452361
null,0.0007246817603555788,0.015497728376469325,-0.014773046616113747
ares,0.0,0.01457359061417789,-0.01457359061417789
cfg,0.0023798132284904234,0.016715434954282713,-0.01433562172579229
storage,0.0004718237124090332,0.014124460803452268,-0.013652637091043236
arm,0.0006453330801598112,0.014253449780149502,-0.013608116699989691
version,0.011218314551169423,0.024025623703296632,-0.01280730915212721
widget,0.0,0.012650781016411938,-0.012650781016411938
behavior,0.009713226680526042,0.021894962291034714,-0.012181735610508672
pointer,0.003442920701411292,0.015534633704444942,-0.01209171300303365
rust lang rust,0.0010334786185607992,0.012911945869230057,-0.011878467250669258
lang rust,0.0010334786185607992,0.012911945869230057,-0.011878467250669258
flaking,0.0022343569168162764,0.01404456465825219,-0.011810207741435912
rust,0.01712950213967089,0.028702855413579125,-0.011573353273908234
workbench,0.0,0.01145573441000538,-0.01145573441000538
class,0.0019128255962468676,0.01332618492130808,-0.011413359325061212
command,0.0,0.011243182348133297,-0.011243182348133297
fixes rust,0.0010670019620033471,0.012234107201869309,-0.011167105239865962
fixes rust lang,0.0010670019620033471,0.012234107201869309,-0.011167105239865962
scalar,0.0,0.010810090076917753,-0.010810090076917753
iterator,0.0008298426194886675,0.011150586843699083,-0.010320744224210416
frame,0.007399723779237298,0.01769368925773572,-0.010293965478498422
rust lang,0.0024652118516746537,0.012537289887237941,-0.010072078035563287
schema,0.0005869518817491775,0.010625479283404744,-0.010038527401655567
constant,0.0,0.009707301116359358,-0.009707301116359358
auto,0.0016942887271193738,0.011394784545071396,-0.009700495817952022
tested,0.007783713041562169,0.017268209895777098,-0.00948449685421493
test,0.016101277685909732,0.02555571719971285,-0.009454439513803117
input,0.001720425913720809,0.011080050904478354,-0.009359624990757546
tables,0.0,0.009252113181071933,-0.009252113181071933
crash,0.0,0.008967267907550848,-0.008967267907550848
inline,0.0,0.008941885665727605,-0.008941885665727605
br,0.0005594866589559907,0.009482874553503029,-0.008923387894547039
returns,0.004143965416722832,0.013028291584014303,-0.00888432616729147
path,0.002258906534796383,0.011105124378934551,-0.008846217844138169
rust fixes rust,0.0,0.008683708795179771,-0.008683708795179771
lang rust fixes,0.0,0.008683708795179771,-0.008683708795179771
rust fixes,0.0,0.008683708795179771,-0.008683708795179771
tool,0.0,0.00866970155414167,-0.00866970155414167
error,0.010440823461733422,0.01907968881018681,-0.008638865348453388
trace,0.0007335018698772075,0.009302309915141669,-0.008568808045264461
count,0.0013564359548517556,0.009894267899973972,-0.008537831945122216
reproduce,0.00653158924485567,0.014907452888202615,-0.008375863643346946
clang,0.0,0.008334873044291027,-0.008334873044291027
vscode,0.0,0.008327366996820273,-0.008327366996820273
apiserver,0.0,0.008286730143789368,-0.008286730143789368
report,0.005030279773565806,0.01327206236484695,-0.008241782591281145
