term,high_drift_tfidf,low_drift_tfidf,high_minus_low
aa,0.0016218811552411489,0.000745286879434318,0.0008765942758068309
abi,0.0,0.002894569598393257,-0.002894569598393257
abi subtype,0.0,0.002894569598393257,-0.002894569598393257
abi subtype lib,0.0,0.002894569598393257,-0.002894569598393257
able,0.001266909185790753,0.0018236060793003811,-0.000556696893509628
able reproduce,0.0,0.001570348316253467,-0.001570348316253467
able reproduce flake,0.0,0.001570348316253467,-0.001570348316253467
ac,0.0,0.0008135909207777679,-0.0008135909207777679
accept,0.00120078768160481,0.0025244701460542464,-0.0013236824644494364
accepted,0.004699088602990248,0.0008686185968015857,0.003830470006188662
access,0.002883671890332095,0.0002507881756654849,0.00263288371466661
according,0.0038673107867840647,0.0007672005794079238,0.003100110207376141
according type,0.0020388006181503954,0.0008448132522072999,0.0011939873659430954
according type issue,0.0020388006181503954,0.0008448132522072999,0.0011939873659430954
account,0.0015862675416939416,0.0013560389808926947,0.00023022856080124688
acquire,0.0010612903014253284,0.0021917560382027973,-0.0011304657367774689
action,0.004684698843753411,0.0062673305459447475,-0.0015826317021913365
action required,0.002559795171046508,0.0008157567444252665,0.0017440384266212412
action required information,0.002559795171046508,0.0008157567444252665,0.0017440384266212412
action users,0.002559795171046508,0.0008157567444252665,0.0017440384266212412
action users switching,0.002559795171046508,0.0008157567444252665,0.0017440384266212412
active,0.0017823879300084056,0.008570475723003838,-0.006788087792995433
active storage,0.0,0.006547475167705262,-0.006547475167705262
activemodel,0.0,0.0073371740576111365,-0.0073371740576111365
activerecord,0.0022866920940228415,0.001385231886968111,0.0009014602070547305
activesupport,0.0,0.002936548744208804,-0.002936548744208804
actual,0.002976289525403503,0.011178709022338395,-0.008202419496934892
actual behavior,0.0005682004741150359,0.007906211280229634,-0.0073380108061145985
actual dns,0.0,0.0023088214849171966,-0.0023088214849171966
actual dns server,0.0,0.0023088214849171966,-0.0023088214849171966
actually,0.003826746262320471,0.0016348734430055066,0.0021918728193149645
actually needs,0.0002978605716517463,0.000775972461494676,-0.00047811188984292973
actually needs consume,0.0002978605716517463,0.000775972461494676,-0.00047811188984292973
actually requires,0.0002978605716517463,0.000775972461494676,-0.00047811188984292973
actually requires derived,0.0002978605716517463,0.000775972461494676,-0.00047811188984292973
ad,0.0,0.0013498907301641911,-0.0013498907301641911
adapter,0.0,0.0018903120481557375,-0.0018903120481557375
add,0.026470628467791336,0.010591467769636294,0.015879160698155044
add colour,0.00403038686786304,0.0,0.00403038686786304
add feature,0.0007622306980076138,0.00031248951851909224,0.0004497411794885215
add feature changelog,0.0007622306980076138,0.00031248951851909224,0.0004497411794885215
add following,0.005119590342093016,0.001631513488850533,0.0034880768532424824
add following kinds,0.005119590342093016,0.001631513488850533,0.0034880768532424824
add kind,0.0014910465373686942,0.0,0.0014910465373686942
add kind flake,0.0014910465373686942,0.0,0.0014910465373686942
add label,0.0031722422594945153,0.001975797322315495,0.0011964449371790202
add label developer,0.0031722422594945153,0.001975797322315495,0.0011964449371790202
add missing,0.0012420806342829693,0.0018473209116607837,-0.0006052402773778145
add regression,0.0,0.001959159588307477,-0.001959159588307477
add test,0.0012463733816732497,0.001464272991183625,-0.00021789960951037524
add word,0.002559795171046508,0.0008157567444252665,0.0017440384266212412
add word fixes,0.002559795171046508,0.0008157567444252665,0.0017440384266212412
